Game Title,Played?,Date Played,Min Players,Max Players,Age Range,Setup Time,Time to Play,Type of Game,Complexity,Theme,Mechanics,Publisher / Year,Rating,Favorite?,Notes
20 Strong: Solar Sentinels,y,5/23/2025,1,1,12+,5 minutes,30–45 minutes,Card,Medium,Sci-Fi,"Solo, Dice Rolling",Chip Theory / 2023,★★★★☆,FALSE,
20 Strong: Victorium,y,5/23/2025,1,1,12+,5 minutes,30–45 minutes,Card,Medium,Fantasy,"Solo, Dice Rolling",Chip Theory / 2023,★★★★☆,FALSE,
A Gentle Rain,y,,1,2,8+,1 minute,12–15 minutes,Board,Low,Mindfulness / Nature,Tile Placement,Incredible Dream Studios / 2021,☆☆☆☆☆,FALSE,
Apples to Apples Jr,y,,4,10,9+,2 minutes,30 minutes,Card,Low,Word Association,"Party Game, Vocabulary Building",Mattel / 2007,☆☆☆☆☆,FALSE,
Arkham Horror (3rd Edition),y,5/30/2025,1,6,14+,30–60 minutes,120–240 minutes,Board,High,Lovecraftian Horror,"Cooperative, Narrative",Fantasy Flight / 2018,★★★★☆,FALSE,
Azul,y,,2,4,8+,5 minutes,30–45 minutes,Board,Medium,Abstract / Mosaic,"Tile Drafting, Pattern Building",Next Move Games / 2017,☆☆☆☆☆,FALSE,
Bag of Dungeon,y,6/4/2025,1,4,7+,5 minutes,30–60 minutes,Board,Medium,Fantasy / Dungeon,"Tile-laying, Dice Rolling",Gunpowder Studios / 2018,★★★☆☆,FALSE,
Bang!,n,,4,7,8+,5 minutes,20–40 minutes,Card,Medium,Wild West,"Hidden Roles, Hand Management",dV Giochi / 2002,☆☆☆☆☆,FALSE,
Battleship,y,,2,2,7+,2 minutes,20–30 minutes,Board,Low,Naval Combat,"Deduction, Grid Targeting",Hasbro / 1967,☆☆☆☆☆,FALSE,
Betrayal at House on the Hill (3rd Edition),y,,3,6,12+,5 minutes,60–90 minutes,Board,Medium,Horror / Mystery,"Modular Board, Hidden Traitor, Scenario-based",Avalon Hill / 2022,☆☆☆☆☆,FALSE,
Block by Block,y,,1,4,13+,10 minutes,90–120 minutes,Board,Medium–High,Social Revolution,"Area Control, Dice Rolling, Co-op",Out of Order Games / 2016,☆☆☆☆☆,FALSE,
Blokus,y,,2,4,7+,1 minute,20–30 minutes,Board,Low,Abstract Strategy,Tile Placement,Mattel / 2000,☆☆☆☆☆,FALSE,
Blokus Duo,y,,2,2,7+,1 minute,20 minutes,Board,Low,Abstract Strategy,Tile Placement,Mattel / 2005,☆☆☆☆☆,FALSE,
Blurt! National Parks Ed,n,,3,12,8+,2 minutes,20–30 minutes,Party,Low,Vocabulary / Nature,"Wordplay, Racing",Educational Insights / 2021,☆☆☆☆☆,FALSE,
Bog,y,,2,6,8+,2 minutes,20 minutes,Card,Low,Word / Party,"Wordplay, Pattern Recognition",Parker Brothers / 1987,☆☆☆☆☆,FALSE,
Bonsai,n,,1,4,10+,5 minutes,30–45 minutes,Board,Medium,Zen Gardening,"Tile Placement, Open Drafting",dV Games / 2022,☆☆☆☆☆,FALSE,
Carcassonne,y,,2,5,7+,5 minutes,35 minutes,Board,Medium,Medieval / Tile,"Tile Placement, Area Control",Hans im Glück / 2000,☆☆☆☆☆,FALSE,
Cards Against Humanity,y,,4,20,17+,2 minutes,30–90 minutes,Card,Low,Adult Humor,"Fill-in-the-Blank, Party",Cards Against Humanity LLC / 2011,☆☆☆☆☆,FALSE,
Catan,y,,3,6,10+,10 minutes,60–90 minutes,Board,Medium,Resource Management,"Trading, Dice Rolling, Network Build",Kosmos / 1995,☆☆☆☆☆,FALSE,
Catan Dice,y,,1,6,7+,2 minutes,15–30 minutes,Dice,Low,Resource Management,"Dice Rolling, Route Building",Catan Studio / 2007,☆☆☆☆☆,FALSE,
